rank,score,image,description,target_probability,reference_probability,probability_margin,best_target_prompt,best_reference_prompt,best_overall_prompt,width,height,extension,size_bytes,references,context_keyword_hits
8652,-0.9749414455145597,assets/images/2025/20250105_20250615/20250614_001501_0.jpg,a screenshot of a website,0.001140647567808628,0.977222740650177,-0.9760820930823684,a circular percentage chart,a screenshot of a website,a screenshot of a website,806,717,.jpg,67309,_posts/2025-06-15-weekly-OFS-51.md:282,
8653,-0.9751559335272759,assets/images/2025/20240701_20250728/20250721_063826_0.jpg,a screenshot of a website,0.0007134458282962441,0.9765828251838684,-0.9758693793555722,a pie chart,a screenshot of a website,a screenshot of a website,1200,1047,.jpg,106942,_posts/2025-07-27-weekly-OFS-57.md:87,
8654,-0.9754827861906961,assets/images/2026/20241208_20260223/20260218_022517_1.jpg,a screenshot of a website,5.038356175646186e-05,0.975583553314209,-0.9755331697524525,a circular percentage chart,a screenshot of a website,a screenshot of a website,740,848,.jpg,190780,_posts/2026-02-22-weekly-OFS-87.md:131,
8655,-0.9765106020495296,assets/images/2024/20241017_20241027/20241025_062326_0.jpg,a screenshot of a website,0.0007222802378237247,0.977955162525177,-0.9772328822873533,a doughnut chart,a screenshot of a website,a screenshot of a website,1030,599,.jpg,52520,_posts/2024-10-27-weekly-OFS-18.md:136,
8656,-0.9768390047174762,assets/images/imported/ln-photonics-literature/image8.png,a microscope image,5.1648039516294375e-05,0.9769423007965088,-0.9768906527569925,a doughnut chart,a microscope image,a microscope image,898,404,.png,214288,_posts/2018-04-26-ln-photonics-literature.md:98,
8657,-0.9769025694713491,assets/images/2025/20250113_20251130/20251126_030514_0.jpg,a microscope image,4.159838681516703e-06,0.9769108891487122,-0.9769067293100306,a composition breakdown pie chart,a microscope image,a microscope image,1200,1130,.jpg,130442,_posts/2025-12-01-weekly-OFS-75.md:50,
8658,-0.9770371424820041,assets/images/2024/20240803_20240928/20240925_015944_1.jpg,a microscope image,5.784095992567018e-05,0.9771528244018555,-0.9770949834419298,a circular chart with colored slices,a microscope image,a microscope image,720,540,.jpg,524480,_posts/2024-10-06-weekly-OFS-15.md:120,
8659,-0.9770371424820041,assets/images/2025/20240925_20250706/20240925_015944_3.jpg,a microscope image,5.784095992567018e-05,0.9771528244018555,-0.9770949834419298,a circular chart with colored slices,a microscope image,a microscope image,720,540,.jpg,524480,,
8660,-0.9773506380297476,assets/images/2025/20240920_20251005/20251002_025428_2.jpg,a microscope image,0.00011769646516768262,0.977586030960083,-0.9774683344949153,a circular chart with colored slices,a microscope image,a microscope image,1200,900,.jpg,82376,_posts/2025-10-06-weekly-OFS-67.md:53; _posts/trash_2025-10-05-weekly-OFS-67.md:209,
8661,-0.9774136157066096,assets/images/2025/20250117_20250127_long_thread/20250122_052349_1.jpg,a microscope image,3.3248899853788316e-05,0.9774801135063171,-0.9774468646064634,a doughnut chart,a microscope image,a microscope image,1200,900,.jpg,60525,_posts/2026-06-13-100G-200G-400G-800G.md:77,
8662,-0.9777932973811403,assets/images/2024/20241122_20241215/20241215_071017_0.jpg,a screenshot of a website,0.0008228017832152545,0.9794389009475708,-0.9786160991643555,a circular percentage chart,a screenshot of a website,a screenshot of a website,1200,1086,.jpg,138242,_posts/2024-12-22-weekly-OFS-26.md:245,
8663,-0.978465029525978,assets/images/2024/20240429_20241204/20241202_171621_1.jpg,a microscope image,3.5341119655640796e-05,0.9785357117652893,-0.9785003706456337,a circular percentage chart,a microscope image,a microscope image,1200,900,.jpg,54426,_posts/2024-12-08-weekly-OFS-24.md:197,
8664,-0.978465029525978,assets/images/2025/20240926_20250811/20250806_041112_1.jpg,a microscope image,3.5341119655640796e-05,0.9785357117652893,-0.9785003706456337,a circular percentage chart,a microscope image,a microscope image,1200,900,.jpg,54426,_posts/2025-08-10-weekly-OFS-59.md:55,
8665,-0.9789284933358431,assets/images/projects/DocEater.png,a screenshot of a website,0.0013660555705428123,0.9816606044769287,-0.9802945489063859,a doughnut chart,a screenshot of a website,a screenshot of a website,960,626,.png,244398,,
8666,-0.9791094555985183,assets/images/2026/20240611_20260216/20260216_005909_2.jpg,a screenshot of a website,0.0009377353126183152,0.9809849262237549,-0.9800471909111366,a doughnut chart,a screenshot of a website,a screenshot of a website,1200,689,.jpg,72241,_posts/2026-02-17-weekly-OFS-86.md:325,
8667,-0.9799331213871483,assets/images/2025/20250125_20250608/20250315_215542_0.jpg,a screenshot of a website,0.00020677915017586201,0.9803466796875,-0.9801399005373241,a pie chart,a screenshot of a website,a screenshot of a website,1200,1105,.jpg,107505,_posts/2025-06-08-weekly-OFS-50.md:88,
8668,-0.980059821420582,assets/images/projects/2025-ra2-sounds.png,a screenshot of a website,0.00015099892334546894,0.980361819267273,-0.9802108203439275,a composition breakdown pie chart,a screenshot of a website,a screenshot of a website,1430,546,.png,72433,_posts/2026-01-08-weekly-OFS-80.md:334; _posts/2026-01-11-weekly-OFS-81.md:323; _posts/2026-01-20-weekly-OFS-82.md:366; _posts/2026-01-25-weekly-OFS-83.md:304; _posts/2026-02-02-weekly-OFS-84.md:335; _posts/2026-02-08-weekly-OFS-85.md:445; _posts/2026-02-17-weekly-OFS-86.md:405; _posts/2026-02-22-weekly-OFS-87.md:356; _posts/2026-03-02-weekly-OFS-88.md:330; _posts/2026-03-23-weekly-OFS-91.md:509; _posts/2026-03-30-weekly-OFS-92.md:271; _posts/2026-04-07-weekly-OFS-93.md:311; _posts/2026-04-13-weekly-OFS-94.md:252; _posts/2026-04-20-weekly-OFS-95.md:333; _posts/2026-04-27-weekly-OFS-96.md:304; _posts/2026-06-07-weekly-OFS-102.md:367; _posts/2026-06-14-weekly-OFS-103.md:393,
8669,-0.9802841419004835,assets/images/2024/20240608_20241127/20241124_180639_2.jpg,a microscope image,0.0003040495503228158,0.9808922410011292,-0.9805881914508063,a doughnut chart,a microscope image,a microscope image,1200,900,.jpg,66325,_posts/2024-11-30-weekly-OFS-23.md:120,
8670,-0.9806811864436895,assets/images/2025/20240910_20250117/20250107_024257_2.jpg,a microscope image,2.1127101717866026e-05,0.9807234406471252,-0.9807023135454074,a circular chart with colored slices,a microscope image,a microscope image,809,1199,.jpg,80076,,
