rank,score,image,description,target_probability,reference_probability,probability_margin,best_target_prompt,best_reference_prompt,best_overall_prompt,width,height,extension,size_bytes,references,context_keyword_hits
1580,-0.22355763614177704,assets/images/2025/20240304_20251019/20251013_155443_0.jpg,a technical diagram,0.03574424237012863,0.2950461208820343,-0.25930187851190567,a doughnut chart,a technical diagram,a technical diagram,1200,555,.jpg,71727,_posts/2025-10-20-weekly-OFS-69.md:74,
1581,-0.22359571047127247,assets/images/2025/20241006_20250602/hanging_header_beam.png,a photograph,0.010460405610501766,0.244516521692276,-0.23405611608177423,a circular percentage chart,a photograph,a photograph,1220,1158,.png,2767471,_posts/2025-06-01-weekly-OFS-49.md:257; _posts/2025-06-08-weekly-OFS-50.md:380; _posts/2025-06-15-weekly-OFS-51.md:374; _posts/2025-06-22-weekly-OFS-52.md:352; _posts/2025-06-29-weekly-OFS-53.md:375; _posts/2025-07-06-weekly-OFS-54.md:352; _posts/2025-07-13-weekly-OFS-55.md:387; _posts/2025-07-21-weekly-OFS-56.md:347; _posts/2025-07-27-weekly-OFS-57.md:353; _posts/2025-08-05-weekly-OFS-58.md:412; _posts/2025-08-10-weekly-OFS-59.md:404; _posts/2025-08-18-weekly-OFS-60.md:393; _posts/2025-08-24-weekly-OFS-61.md:489; _posts/2025-09-01-weekly-OFS-62.md:381; _posts/2025-09-08-weekly-OFS-63.md:377; _posts/2025-09-15-weekly-OFS-64.md:384; _posts/2025-09-21-weekly-OFS-65.md:418; _posts/2025-09-28-weekly-OFS-66.md:451; _posts/2025-10-06-weekly-OFS-67.md:476; _posts/2025-10-13-weekly-OFS-68.md:423; _posts/2025-10-20-weekly-OFS-69.md:433; _posts/2025-10-26-weekly-OFS-70.md:330; _posts/2025-11-02-weekly-OFS-71.md:403; _posts/2025-11-09-weekly-OFS-72.md:389; _posts/2025-11-16-weekly-OFS-73.md:434; _posts/2025-11-23-weekly-OFS-74.md:429; _posts/2025-12-01-weekly-OFS-75.md:376; _posts/2025-12-07-weekly-OFS-76.md:407; _posts/2025-12-15-weekly-OFS-77.md:454; _posts/2025-12-22-weekly-OFS-78.md:419; _posts/2025-12-29-weekly-OFS-79.md:519; _posts/2026-01-08-weekly-OFS-80.md:451; _posts/2026-01-11-weekly-OFS-81.md:440; _posts/2026-01-20-weekly-OFS-82.md:483,
1582,-0.2236034795641899,assets/images/2026/20240131_20260208/20260205_074021_0.jpg,a scientific plot,0.016456950455904007,0.2565173804759979,-0.24006043002009392,a circular chart with colored slices,a scientific plot,a scientific plot,1200,1058,.jpg,83397,_posts/2026-02-08-weekly-OFS-85.md:338,
1583,-0.2237893007695675,assets/images/2025/20240304_20251019/20251013_234052_0.jpg,a scientific plot,0.015005471184849739,0.25380024313926697,-0.23879477195441723,a pie chart,a scientific plot,a scientific plot,767,1154,.jpg,214730,_posts/2025-10-20-weekly-OFS-69.md:91,
1584,-0.2238850649446249,assets/images/2026/20240131_20260208/20260207_190052_0.jpg,a photograph,0.014357042498886585,0.25259914994239807,-0.23824210744351149,a pie chart,a photograph,a photograph,750,1000,.jpg,72283,_posts/2026-02-08-weekly-OFS-85.md:360,
1585,-0.22389576397836208,assets/images/2025/20250323_20250928/20250928_070600_0.jpg,a microscope image,0.007419911213219166,0.23873558640480042,-0.23131567519158125,a doughnut chart,a microscope image,a microscope image,1199,534,.jpg,57328,_posts/2025-09-28-weekly-OFS-66.md:309,
1586,-0.22412246465682983,assets/images/2025/20240701_20250621/20250621_030514_1.jpg,a table,0.05143938958644867,0.3270012438297272,-0.2755618542432785,a doughnut chart,a table,a table,800,1200,.jpg,110825,_posts/2025-06-22-weekly-OFS-52.md:274,
1587,-0.22427339106798172,assets/images/2024/20241122_20241215/20241122_165225_1.jpg,a scatter plot,0.05277619883418083,0.3298257887363434,-0.27704958990216255,a circular percentage chart,a scatter plot,a scatter plot,1200,822,.jpg,114134,_posts/2024-12-22-weekly-OFS-26.md:88,
1588,-0.22428991496562958,assets/images/2025/20250225_20250406/20250330_050624_0.jpg,a circular object that is not a chart,0.014722101390361786,0.27873411774635315,-0.26401201635599136,a market share pie chart,a circular object that is not a chart,a circular object that is not a chart,1200,675,.jpg,176099,_posts/2025-04-06-weekly-OFS-41.md:152,spend
1589,-0.22429288737475872,assets/images/2025/20241227_20251117/20251114_051648_0.jpg,a ring resonator diagram,0.005329691804945469,0.23495227098464966,-0.2296225791797042,a doughnut chart,a ring resonator diagram,a ring resonator diagram,689,1200,.jpg,158128,_posts/2025-11-16-weekly-OFS-73.md:157,
1590,-0.22453006729483604,assets/images/2025/20240624_20251221/20251220_065148_0.jpg,a microscope image,0.0011475253850221634,0.22682511806488037,-0.2256775926798582,a composition breakdown pie chart,a microscope image,a microscope image,1200,1130,.jpg,174163,_posts/2025-12-22-weekly-OFS-78.md:164,
1591,-0.2245517075061798,assets/images/imported/lnnb-unitcell-simulations-1806-1812/image123.png,a line chart,0.06390811502933502,0.35236793756484985,-0.28845982253551483,a doughnut chart,a line chart,a line chart,486,640,.png,115830,_posts/2018-06-23-lnnb-unitcell-simulations-1806-1812.md:119,
1592,-0.22457345947623253,assets/images/2025/20240712_20250111/20250108_023350_0.jpg,a circular object that is not a chart,0.013771416619420052,0.25211629271507263,-0.23834487609565258,a circular percentage chart,a circular object that is not a chart,a circular object that is not a chart,1200,272,.jpg,29013,_posts/2025-01-12-weekly-OFS-29.md:123,
1593,-0.224784754216671,assets/images/2025/20250316_20250518/20250513_040533_0.jpg,a wafer photo,0.03693344071507454,0.29865163564682007,-0.26171819493174553,a doughnut chart,a wafer photo,a wafer photo,1200,643,.jpg,133650,_posts/2025-05-18-weekly-OFS-47.md:65,
1594,-0.22480997443199158,assets/images/2025/20250108_20250318/20250309_085015_0.jpg,a screenshot of a website,0.04328662157058716,0.3113832175731659,-0.26809659600257874,a doughnut chart,a screenshot of a website,a screenshot of a website,797,65,.jpg,16160,_posts/2025-03-17-weekly-OFS-38.md:168,
1595,-0.22494623251259327,assets/images/2025/20241101_20250216/20250215_173716_0.jpg,a technical diagram,0.008074521087110043,0.24109527468681335,-0.2330207535997033,a doughnut chart,a technical diagram,a technical diagram,1200,673,.jpg,96619,_posts/2025-02-16-weekly-OFS-34.md:368,
1596,-0.22509735077619553,assets/images/2025/20241230_20250505/20250504_153606_0.jpg,a microscope image,0.0515795536339283,0.3282564580440521,-0.2766769044101238,a doughnut chart,a microscope image,a microscope image,1134,1200,.jpg,220734,_posts/2025-05-04-weekly-OFS-45.md:237,
1597,-0.2252005860209465,assets/images/2025/20250113_20251130/20250216_025703_1.jpg,a line chart,0.044344279915094376,0.31388914585113525,-0.2695448659360409,a doughnut chart,a line chart,a line chart,1110,914,.jpg,272415,_posts/2025-12-01-weekly-OFS-75.md:108,
1598,-0.2253640191629529,assets/images/2026/OFC2026/IMG_4044.JPG,a wafer photo,0.006699418183416128,0.23876285552978516,-0.23206343734636903,a doughnut chart,a wafer photo,a wafer photo,4032,3024,.jpg,1991698,_posts/2026-04-04-OFC2026.md:2435,
1599,-0.22537396475672722,assets/images/2025/20241027_20250720/20250707_041618_4.jpg,a wafer photo,0.004227021709084511,0.23382800817489624,-0.22960098646581173,a circular chart with colored slices,a wafer photo,a wafer photo,1200,907,.jpg,137977,,
1600,-0.22537396475672722,assets/images/2025/20250419_20250713/20250707_041618_2.jpg,a wafer photo,0.004227021709084511,0.23382800817489624,-0.22960098646581173,a circular chart with colored slices,a wafer photo,a wafer photo,1200,907,.jpg,137977,_posts/2025-07-13-weekly-OFS-55.md:84,
1601,-0.22555222362279892,assets/images/2024/20240707_20241017/20241013_043549_1.jpg,a screenshot of a website,0.03601435199379921,0.29758092761039734,-0.26156657561659813,a doughnut chart,a screenshot of a website,a screenshot of a website,807,1200,.jpg,185332,_posts/2024-10-20-weekly-OFS-17.md:135,
1602,-0.22555222362279892,assets/images/2024/20240707_20241017/20241014_001953_1.jpg,a screenshot of a website,0.03601435199379921,0.29758092761039734,-0.26156657561659813,a doughnut chart,a screenshot of a website,a screenshot of a website,807,1200,.jpg,185332,_posts/2024-10-20-weekly-OFS-17.md:143,
1603,-0.22562480717897415,assets/images/imported/lnnb-full-beam-simulations-1806-1812/image166.png,a scatter plot,0.05766166374087334,0.3409481346607208,-0.2832864709198475,a doughnut chart,a scatter plot,a scatter plot,745,366,.png,284893,_posts/2018-06-01-lnnb-full-beam-simulations-1806-1812.md:960,
1604,-0.22567854821681976,assets/images/2026/CES2026/IMG_3191.jpg,a table,0.04375133663415909,0.31318122148513794,-0.26942988485097885,a doughnut chart,a table,a table,5712,4284,.jpg,4680007,_posts/2026-01-18-CES2026.md:257,
1605,-0.22573574678972363,assets/images/2025/20240918_20250414/20250411_063053_1.jpg,a ring resonator diagram,0.0034715940710157156,0.23267893493175507,-0.22920734086073935,a doughnut chart,a ring resonator diagram,a ring resonator diagram,1200,672,.jpg,109779,,
1606,-0.2257837876677513,assets/images/2025/20241218_20260104/20260101_192022_3.jpg,a technical diagram,0.011109162122011185,0.24800211191177368,-0.2368929497897625,a pie chart,a technical diagram,a technical diagram,1126,276,.jpg,9966,_posts/2026-01-08-weekly-OFS-80.md:204,
1607,-0.22595531772822142,assets/images/2025/20240926_20250811/20250806_035321_0.jpg,a photograph,0.007427344564348459,0.24081000685691833,-0.23338266229256988,a composition breakdown pie chart,a photograph,a photograph,1200,1027,.jpg,181089,_posts/2025-08-10-weekly-OFS-59.md:102,
1608,-0.2264794409275055,assets/images/imported/lnnb-unitcell-simulations-1806-1812/image67.png,a scatter plot,0.0664045512676239,0.3592885434627533,-0.2928839921951294,a doughnut chart,a scatter plot,a scatter plot,493,398,.png,14269,_posts/2018-06-23-lnnb-unitcell-simulations-1806-1812.md:789,
1609,-0.22649220936000347,assets/images/2025/20240712_20250111/20250106_075041_0.jpg,a microscope image,0.008346759714186192,0.24318572878837585,-0.23483896907418966,a doughnut chart,a microscope image,a microscope image,1200,617,.jpg,97582,_posts/2025-01-12-weekly-OFS-29.md:72,
1610,-0.22676920890808105,assets/images/imported/ln-memos-simulations-2018/image175.png,a ring resonator diagram,0.09586232900619507,0.4184938669204712,-0.3226315379142761,a doughnut chart,a ring resonator diagram,a ring resonator diagram,785,366,.png,35419,_posts/2018-01-03-ln-memos-simulations-2018.md:220,
1611,-0.22687231749296188,assets/images/2025/20240822_20250825/20250823_085716_0.jpg,a wafer photo,0.026853371411561966,0.2805790603160858,-0.25372568890452385,a market share pie chart,a wafer photo,a wafer photo,1199,668,.jpg,48452,_posts/2025-08-24-weekly-OFS-61.md:315,
1612,-0.2270081490278244,assets/images/2025/20241130_20251124/20251120_045353_0.jpg,a table,0.02516896277666092,0.27734607458114624,-0.2521771118044853,a doughnut chart,a table,a table,1200,639,.jpg,251758,_posts/2025-11-23-weekly-OFS-74.md:168,
1613,-0.22707691229879856,assets/images/2025/20250323_20250928/20250923_044133_1.jpg,a wafer photo,0.014992508105933666,0.2570619285106659,-0.24206942040473223,a doughnut chart,a wafer photo,a wafer photo,1200,472,.jpg,79149,_posts/2025-09-28-weekly-OFS-66.md:126,
1614,-0.22709273174405098,assets/images/2025/20250214_20250921/20250920_062259_1.jpg,a circular object that is not a chart,0.018406307324767113,0.2639053463935852,-0.2454990390688181,a circular percentage chart,a circular object that is not a chart,a circular object that is not a chart,1091,534,.jpg,34113,_posts/2025-09-21-weekly-OFS-65.md:113,
1615,-0.2271343618631363,assets/images/2025/20240701_20250621/20250616_155756_1.jpg,a technical diagram,0.019316576421260834,0.26576751470565796,-0.24645093828439713,a doughnut chart,a technical diagram,a technical diagram,1144,1200,.jpg,134880,_posts/2025-06-22-weekly-OFS-52.md:104,
1616,-0.2271351246163249,assets/images/2026/20240918_20260601/20260601_052412_0.jpg,a microscope image,0.005280836019665003,0.2376967966556549,-0.2324159606359899,a market share pie chart,a microscope image,a microscope image,1017,589,.jpg,41042,_posts/2026-06-14-weekly-OFS-103.md:283,
1617,-0.22728227078914642,assets/images/2025/20240701_20250728/20250726_005231_1.jpg,a scatter plot,0.0668804869055748,0.361043244600296,-0.2941627576947212,a circular percentage chart,a scatter plot,a scatter plot,1200,751,.jpg,87262,_posts/2025-07-27-weekly-OFS-57.md:204,
1618,-0.22731204330921173,assets/images/2025/20240712_20250111/20250108_065607_0.jpg,a microscope image,0.08934619277715683,0.4060044288635254,-0.31665823608636856,a doughnut chart,a microscope image,a microscope image,1200,1028,.jpg,249520,_posts/2025-01-12-weekly-OFS-29.md:211,
1619,-0.2274676412343979,assets/images/2025/20241220_20250104/20241228_182346_3.jpg,a technical diagram,0.016228504478931427,0.25992465019226074,-0.24369614571332932,a doughnut chart,a technical diagram,a technical diagram,1200,674,.jpg,117703,_posts/2025-01-05-weekly-OFS-28.md:97,
1620,-0.22750600054860115,assets/images/2025/shed/IMG_2572_UMXG8758.JPG,a circular object that is not a chart,0.010148389264941216,0.24780277907848358,-0.23765438981354237,a market share pie chart,a circular object that is not a chart,a circular object that is not a chart,1707,1280,.jpg,447702,_posts/2025-04-20-shed.md:138,
1621,-0.22754742205142975,assets/images/2026/OFC2026/IMG_4179.JPG,a bar chart,0.09474631398916245,0.41704005002975464,-0.3222937360405922,a donut chart,a bar chart,a bar chart,4032,3024,.jpg,1759496,_posts/2026-04-04-OFC2026.md:6477,
1622,-0.2277360688894987,assets/images/imported/piezoelectric-k-square-20190613/image65.png,a circular object that is not a chart,0.014750474132597446,0.2572370171546936,-0.24248654302209616,a circular percentage chart,a circular object that is not a chart,a circular object that is not a chart,614,121,.png,16303,_posts/2019-06-13-piezoelectric-k-square.md:207,
1623,-0.2277738843113184,assets/images/2026/20240918_20260601/20260520_000006_2.jpg,a scientific plot,0.014136071316897869,0.25604602694511414,-0.24190995562821627,a doughnut chart,a scientific plot,a scientific plot,1200,844,.jpg,167232,_posts/2026-06-14-weekly-OFS-103.md:78,
1624,-0.22789207845926285,assets/images/2026/OFC2026/IMG_4144.JPG,a technical diagram,0.010625462979078293,0.24914300441741943,-0.23851754143834114,a donut chart,a technical diagram,a technical diagram,4032,3024,.jpg,2629490,_posts/2026-04-04-OFC2026.md:5151,
1625,-0.22804449498653412,assets/images/2025/20241122_20250420/20250413_052217_0.jpg,a screenshot of a website,0.025297366082668304,0.2786392271518707,-0.2533418610692024,a composition breakdown pie chart,a screenshot of a website,a screenshot of a website,1199,582,.jpg,36685,_posts/2025-04-20-weekly-OFS-43.md:72,
1626,-0.22820289805531502,assets/images/2025/20241101_20250216/20250215_164253_1.jpg,a ring resonator diagram,0.027717581018805504,0.283638060092926,-0.2559204790741205,a doughnut chart,a ring resonator diagram,a ring resonator diagram,700,515,.jpg,49921,_posts/2025-02-16-weekly-OFS-34.md:349,
1627,-0.2282048910856247,assets/images/2024/20240930_20241009/20241002_152634_0.jpg,a technical diagram,0.09107286483049393,0.41035062074661255,-0.3192777559161186,a donut chart,a technical diagram,a technical diagram,1099,855,.jpg,134966,_posts/2024-10-13-weekly-OFS-16.md:98,
1628,-0.2282048910856247,assets/images/2025/20241206_20250308/20250302_174053_0.jpg,a technical diagram,0.09107286483049393,0.41035062074661255,-0.3192777559161186,a donut chart,a technical diagram,a technical diagram,1099,855,.jpg,134966,_posts/2025-03-09-weekly-OFS-37.md:114,
1629,-0.2282349392771721,assets/images/imported/lnnb-full-beam-simulations-1806-1812/image137.png,a technical diagram,0.054474566131830215,0.3371840715408325,-0.2827095054090023,a doughnut chart,a technical diagram,a technical diagram,888,442,.png,67687,_posts/2018-06-01-lnnb-full-beam-simulations-1806-1812.md:223,
1630,-0.2282792516052723,assets/images/2025/20240913_20250208/20250207_172753_1.jpg,a table,0.02383103035390377,0.27594131231307983,-0.25211028195917606,a doughnut chart,a table,a table,1195,476,.jpg,64277,_posts/2025-02-09-weekly-OFS-33.md:57,
1631,-0.2283511459827423,assets/images/2025/20241101_20250216/20250214_213415_1.jpg,a wafer photo,0.02925984561443329,0.2868708372116089,-0.2576109915971756,a donut chart,a wafer photo,a wafer photo,1200,900,.jpg,214780,_posts/2025-02-16-weekly-OFS-34.md:320,
1632,-0.22843244206160307,assets/images/2025/20240619_20250322/20250319_031856_3.jpg,a table,0.005952643696218729,0.24033772945404053,-0.2343850857578218,a doughnut chart,a table,a table,1200,905,.jpg,121115,_posts/2025-03-23-weekly-OFS-39.md:200,
1633,-0.22844741493463516,assets/images/2026/20240611_20260216/20250325_020206_0.jpg,a ring resonator diagram,0.04128647968173027,0.3110203742980957,-0.26973389461636543,a doughnut chart,a ring resonator diagram,a ring resonator diagram,800,524,.jpg,786545,_posts/2026-02-17-weekly-OFS-86.md:258,
1634,-0.2285977005958557,assets/images/2025/20240918_20251214/20251213_233449_3.jpg,a circular object that is not a chart,0.0659993588924408,0.3605964183807373,-0.2945970594882965,a circular chart with colored slices,a circular object that is not a chart,a circular object that is not a chart,872,1030,.jpg,49890,_posts/2025-12-15-weekly-OFS-77.md:246,
1635,-0.22860433161258698,assets/images/2025/20250214_20250921/20250920_055725_3.jpg,a line chart,0.08601858466863632,0.4006415009498596,-0.3146229162812233,a doughnut chart,a line chart,a line chart,1200,629,.jpg,314382,_posts/2025-09-21-weekly-OFS-65.md:110,
1636,-0.22869526036083698,assets/images/2026/CES2026/IMG_3170.jpg,a wafer photo,0.008251010440289974,0.24519728124141693,-0.23694627080112696,a doughnut chart,a wafer photo,a wafer photo,5712,4284,.jpg,7044018,_posts/2026-01-18-CES2026.md:218,
1637,-0.22873534937389195,assets/images/2025/20240619_20250322/20250320_060148_0.jpg,a wafer photo,0.001178730628453195,0.23109281063079834,-0.22991408000234514,a doughnut chart,a wafer photo,a wafer photo,1200,674,.jpg,142527,_posts/2025-03-23-weekly-OFS-39.md:239,
1638,-0.22873534937389195,assets/images/2026/20240704_20260519/20250320_061119_2.jpg,a wafer photo,0.001178730628453195,0.23109281063079834,-0.22991408000234514,a doughnut chart,a wafer photo,a wafer photo,1200,674,.jpg,142527,_posts/2026-06-07-weekly-OFS-102.md:191,
1639,-0.22877192497253418,assets/images/2026/OFC2026/IMG_4050.JPG,a circular object that is not a chart,0.046844542026519775,0.32246100902557373,-0.27561646699905396,a donut chart,a circular object that is not a chart,a circular object that is not a chart,5712,4284,.jpg,2977716,_posts/2026-04-04-OFC2026.md:2576,
1640,-0.22878055274486542,assets/images/imported/lnnb-full-beam-simulations-1801-1805/image55.png,a ring resonator diagram,0.07960007339715958,0.38798069953918457,-0.308380626142025,a doughnut chart,a ring resonator diagram,a ring resonator diagram,808,546,.png,93811,_posts/2018-01-19-lnnb-full-beam-simulations-1801-1805.md:215,
1641,-0.22894013626500964,assets/images/2025/20240619_20250322/20241123_081504_1.jpg,a technical diagram,0.002468604827299714,0.23387734591960907,-0.23140874109230936,a doughnut chart,a technical diagram,a technical diagram,1199,542,.jpg,65746,_posts/2025-03-23-weekly-OFS-39.md:335,
1642,-0.22907764464616776,assets/images/2026/20240822_20260427/20260422_051249_0.jpg,a scientific plot,0.03803568705916405,0.30514901876449585,-0.2671133317053318,a circular percentage chart,a scientific plot,a scientific plot,1200,768,.jpg,85931,_posts/2026-04-27-weekly-OFS-96.md:78,
1643,-0.22947227861732244,assets/images/2026/20241208_20260223/20260221_061409_1.jpg,a scientific plot,0.0034490381367504597,0.23637035489082336,-0.2329213167540729,a doughnut chart,a scientific plot,a scientific plot,662,426,.jpg,275344,_posts/2026-02-22-weekly-OFS-87.md:192,
1644,-0.22947227861732244,assets/images/2026/20241208_20260223/20260221_181001_1.jpg,a scientific plot,0.0034490381367504597,0.23637035489082336,-0.2329213167540729,a doughnut chart,a scientific plot,a scientific plot,662,426,.jpg,275344,_posts/2026-02-22-weekly-OFS-87.md:241,
1645,-0.22959168255329132,assets/images/2025/20240624_20251221/20251214_184200_0.jpg,a screenshot of a website,0.06400913745164871,0.35760995745658875,-0.29360082000494003,a doughnut chart,a screenshot of a website,a screenshot of a website,1200,592,.jpg,82454,_posts/2025-12-22-weekly-OFS-78.md:81,
1646,-0.22960197180509567,assets/images/2025/20250105_20250615/20250610_040215_0.jpg,a ring resonator diagram,0.014267075806856155,0.258136123418808,-0.24386904761195183,a circular chart with colored slices,a ring resonator diagram,a ring resonator diagram,1200,599,.jpg,119525,_posts/2025-06-15-weekly-OFS-51.md:85,
1647,-0.22961034439504147,assets/images/2026/OFC2026/IMG_4203.PNG,a screenshot of a website,0.008805138058960438,0.24722062051296234,-0.2384154824540019,a doughnut chart,a screenshot of a website,a screenshot of a website,2250,3000,.png,13272030,_posts/2026-04-04-OFC2026.md:7334,
1648,-0.22980790631845593,assets/images/2025/20250216_20250222/20250216_050257_0.jpg,a scientific plot,0.003766443347558379,0.2373407930135727,-0.2335743496660143,a doughnut chart,a scientific plot,a scientific plot,1200,615,.jpg,67740,_posts/2025-02-23-weekly-OFS-35.md:88,
1649,-0.22989185899496078,assets/images/imported/lnnb-full-beam-simulations-1801-1805/image45.png,a bar chart,0.04268581047654152,0.3152634799480438,-0.2725776694715023,a circular percentage chart,a bar chart,a bar chart,768,272,.png,25038,_posts/2018-01-19-lnnb-full-beam-simulations-1801-1805.md:195,
1650,-0.22991679050028324,assets/images/imported/piezoelectric-k-square-20190613/image19.png,a scientific plot,0.013493160717189312,0.25690311193466187,-0.24340995121747255,a circular percentage chart,a scientific plot,a scientific plot,165,97,.png,3712,_posts/2019-06-13-piezoelectric-k-square.md:84,
1651,-0.2299907689448446,assets/images/2025/OpenSauce2025/IMG_0392.jpeg,a wafer photo,0.001342250150628388,0.23267526924610138,-0.231333019095473,a circular percentage chart,a wafer photo,a wafer photo,4032,3024,.jpeg,2190721,_posts/2025-07-26-open-sauce-2025.md:59,
1652,-0.23000003769993782,assets/images/2026/OFC2026/IMG_4035.JPG,a table,0.00622284971177578,0.24244573712348938,-0.2362228874117136,a doughnut chart,a table,a table,5712,4284,.jpg,4255047,_posts/2026-04-04-OFC2026.md:2040,
1653,-0.23004558263346553,assets/images/2025/20241113_20250130/20250127_061834_0.jpg,a screenshot of a website,0.0012671819422394037,0.23257994651794434,-0.23131276457570493,a pie chart,a screenshot of a website,a screenshot of a website,1200,704,.jpg,65939,_posts/2025-02-02-weekly-OFS-32.md:174,
1654,-0.23005885211750865,assets/images/2024/20240429_20241204/20241124_174059_5.jpg,a wafer photo,0.0015501065645366907,0.23315906524658203,-0.23160895868204534,a circular chart with colored slices,a wafer photo,a wafer photo,795,1200,.jpg,127561,,
1655,-0.23005885211750865,assets/images/2024/20240608_20241127/20241121_063026_1.jpg,a wafer photo,0.0015501065645366907,0.23315906524658203,-0.23160895868204534,a circular chart with colored slices,a wafer photo,a wafer photo,795,1200,.jpg,127561,_posts/2024-11-30-weekly-OFS-23.md:114,
1656,-0.23006880283355713,assets/images/2025/20250115_20251102/20251030_043837_1.jpg,a bar chart,0.03850771486759186,0.30708423256874084,-0.268576517701149,a doughnut chart,a bar chart,a bar chart,1200,900,.jpg,103666,_posts/2025-11-02-weekly-OFS-71.md:154,
1657,-0.23009251058101654,assets/images/2025/20241215_20250915/20250912_155834_0.jpg,a microscope image,0.03766150027513504,0.3054155111312866,-0.2677540108561516,a doughnut chart,a microscope image,a microscope image,1200,1000,.jpg,147144,_posts/2025-09-15-weekly-OFS-64.md:183,
1658,-0.23013705015182495,assets/images/2025/20241101_20250216/20250213_054343_2.jpg,a ring resonator diagram,0.08457666635513306,0.39929038286209106,-0.314713716506958,a doughnut chart,a ring resonator diagram,a ring resonator diagram,1200,565,.jpg,23810,_posts/2025-02-16-weekly-OFS-34.md:269,
1659,-0.23031837865710258,assets/images/2025/20240926_20250811/20250809_080516_0.jpg,a circular object that is not a chart,0.01906789280474186,0.2684541642665863,-0.24938627146184444,a doughnut chart,a circular object that is not a chart,a circular object that is not a chart,1200,530,.jpg,84878,_posts/2025-08-10-weekly-OFS-59.md:213,
1660,-0.2304471731185913,assets/images/2026/OFC2026/IMG_4198.JPG,a screenshot of a website,0.035421326756477356,0.301289826631546,-0.26586849987506866,a doughnut chart,a screenshot of a website,a screenshot of a website,4032,3024,.jpg,1982449,_posts/2026-04-04-OFC2026.md:7117,
1661,-0.23053663596510887,assets/images/2026/20241208_20260223/20260218_160342_2.jpg,a scatter plot,0.0048575568944215775,0.24025174975395203,-0.23539419285953045,a market share pie chart,a scatter plot,a scatter plot,900,1200,.jpg,223836,_posts/2026-02-22-weekly-OFS-87.md:234,
1662,-0.23107755184173584,assets/images/2025/20241101_20250216/20250216_022810_0.jpg,a flow diagram,0.05501262843608856,0.34110280871391296,-0.2860901802778244,a circular percentage chart,a flow diagram,a flow diagram,1200,954,.jpg,169337,_posts/2025-02-16-weekly-OFS-34.md:376,
1663,-0.23122283443808556,assets/images/2025/20240304_20251019/20251019_184017_1.jpg,a technical diagram,0.022535311058163643,0.27629345655441284,-0.2537581454962492,a doughnut chart,a technical diagram,a technical diagram,1200,612,.jpg,134890,_posts/2025-10-20-weekly-OFS-69.md:299,
1664,-0.2312355414032936,assets/images/2024/20240429_20241204/20241130_175838_0.jpg,a circular object that is not a chart,0.05320924147963524,0.3376540243625641,-0.28444478288292885,a circular chart with colored slices,a circular object that is not a chart,a circular object that is not a chart,1200,919,.jpg,127807,_posts/2024-12-08-weekly-OFS-24.md:175,
1665,-0.2315956987440586,assets/images/2025/20250105_20250615/20250604_020529_3.jpg,a circular object that is not a chart,0.030391333624720573,0.29237836599349976,-0.2619870323687792,a doughnut chart,a circular object that is not a chart,a circular object that is not a chart,1131,1200,.jpg,199257,_posts/2025-06-15-weekly-OFS-51.md:186,
1666,-0.2315956987440586,assets/images/2025/20250125_20250608/20250307_052300_0.jpg,a circular object that is not a chart,0.030391333624720573,0.29237836599349976,-0.2619870323687792,a doughnut chart,a circular object that is not a chart,a circular object that is not a chart,1131,1200,.jpg,199257,_posts/2025-06-08-weekly-OFS-50.md:132,
1667,-0.23162405844777822,assets/images/2025/20241227_20251117/20251115_070028_2.jpg,a technical diagram,0.003026132006198168,0.23767632246017456,-0.2346501904539764,a doughnut chart,a technical diagram,a technical diagram,1200,657,.jpg,150533,_posts/2025-11-15-TWPA.md:53,
1668,-0.2316908910870552,assets/images/2025/20240918_20250414/20250406_065648_0.jpg,a table,0.017935674637556076,0.26756224036216736,-0.24962656572461128,a circular percentage chart,a table,a table,1200,874,.jpg,162849,,
1669,-0.23171871900558472,assets/images/2025/20240712_20250111/20250106_075041_1.jpg,a wafer photo,0.01866687834262848,0.2690524756908417,-0.2503855973482132,a doughnut chart,a wafer photo,a wafer photo,797,1200,.jpg,227233,_posts/2025-01-12-weekly-OFS-29.md:73,
1670,-0.23187503963708878,assets/images/2025/20250211_20250817/20250816_032327_0.jpg,a ring resonator diagram,0.012838523834943771,0.2575520873069763,-0.24471356347203255,a doughnut chart,a ring resonator diagram,a ring resonator diagram,1200,576,.jpg,68728,_posts/2025-08-18-weekly-OFS-60.md:241,
1671,-0.23191899061203003,assets/images/imported/lnnb-unitcell-simulations-1806-1812/image68.png,a scatter plot,0.04060475528240204,0.3131285011768341,-0.27252374589443207,a circular chart with colored slices,a scatter plot,a scatter plot,658,477,.png,57890,_posts/2018-06-23-lnnb-unitcell-simulations-1806-1812.md:328,
1672,-0.23195679485797882,assets/images/2024/ebeam/charged_particle_tracing_20241014.png,a line chart,0.10129504650831223,0.43454688787460327,-0.33325184136629105,a circular percentage chart,a line chart,a line chart,584,432,.png,23740,_posts/2024-10-13-yapping-on-ebeam-lithography.md:156,
1673,-0.23196075670421124,assets/images/2026/20240627_20260322/20260316_212348_0.jpg,a microscope image,0.012615331448614597,0.25719141960144043,-0.24457608815282583,a market share pie chart,a microscope image,a microscope image,1200,900,.jpg,137716,_posts/2026-03-23-weekly-OFS-91.md:304,
